phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1
PHASE1_TRAIN,2016-07-25,1,3,0,0.999,0.0131,0.32,0.235,0.2222
PHASE1_TRAIN,2016-08-10,2,3,0,0.9983,0.0196,0.3333,0.25,0.1667
PHASE1_TRAIN,2016-08-15,1,3,0,0.9953,0.047,0.25,0.1429,0.1429
PHASE1_TRAIN,2016-08-23,1,3,0,0.9951,0.0497,0.413,0.254,0.2471
PHASE1_TRAIN,2016-08-26,2,3,0,0.9935,0.0596,0.3333,0.25,0.2433
PHASE1_TRAIN,2016-08-23,1,3,0,0.9834,0.1393,0.3333,0.1609,0.1409
PHASE1_TRAIN,2016-08-11,1,3,0,0.983,0.1426,0.3684,0.248,0.2288
PHASE1_TRAIN,2016-08-19,2,3,0,0.9699,0.2414,0.4038,0.1761,0.1598
PHASE1_TRAIN,2016-08-12,2,3,0,0.9642,0.2746,0.3415,0.1682,0.1497
PHASE1_TRAIN,2016-08-04,1,3,0,0.9576,0.3157,0.3793,0.1726,0.1554
PHASE1_TRAIN,2016-08-11,4,3,0,0.9532,0.337,0.5124,0.1864,0.1714
PHASE1_TRAIN,2016-08-19,1,3,0,0.9517,0.3298,0.3472,0.1705,0.156
PHASE1_TRAIN,2016-07-29,1,3,0,0.9505,0.3625,0.514,0.1869,0.1723
PHASE1_TRAIN,2017-11-23,3,1,0,0.9492,0.3096,0.4978,0.2053,0.1978
PHASE1_TRAIN,2016-07-22,1,3,0,0.9451,0.4059,0.5129,0.1867,0.1724
PHASE1_TRAIN,2016-08-15,1,3,0,0.9429,0.3695,0.4375,0.1859,0.1703
PHASE1_TRAIN,2016-08-19,1,3,0,0.9403,0.3677,0.45,0.1857,0.1684
PHASE1_TRAIN,2016-08-17,1,3,0,0.9388,0.4133,0.4231,0.1763,0.1598
PHASE1_TRAIN,2016-07-27,2,3,0,0.9366,0.4331,0.4251,0.18,0.1633
PHASE1_TRAIN,2016-07-26,1,3,0,0.9314,0.4289,0.452,0.1858,0.1673
PHASE1_TRAIN,2016-09-12,1,2,0,0.929,0.4557,0.5112,0.1856,0.1729
PHASE1_TRAIN,2016-08-10,1,3,0,0.9278,0.46,0.489,0.1852,0.1693
PHASE1_TRAIN,2016-08-25,3,2,0,0.9276,0.4891,0.5227,0.188,0.1738
PHASE1_TRAIN,2016-08-22,2,3,0,0.9269,0.4488,0.5264,0.1823,0.1702
PHASE1_TRAIN,2016-09-12,1,2,0,0.9264,0.49,0.4895,0.1802,0.1682
PHASE1_TRAIN,2016-08-24,2,3,0,0.9232,0.4927,0.5127,0.189,0.1748
PHASE2_UPGRADE,2023-11-18,5,3,0,0.922,0.5223,0.4399,0.2087,0.1983
PHASE1_TRAIN,2016-08-05,1,3,0,0.9211,0.4742,0.4612,0.1864,0.1687
PHASE1_TRAIN,2016-07-26,1,3,0,0.9185,0.5294,0.5422,0.1902,0.1763
PHASE1_TRAIN,2016-09-12,1,2,0,0.9183,0.5187,0.4664,0.1779,0.1668
PHASE1_TRAIN,2016-08-29,4,3,0,0.9166,0.5277,0.4934,0.1874,0.1717
PHASE1_TRAIN,2016-09-12,4,2,0,0.9111,0.5472,0.4928,0.1827,0.1708
PHASE1_TRAIN,2016-08-09,1,3,0,0.9104,0.518,0.5315,0.1837,0.1719
PHASE1_TRAIN,2016-09-13,2,1,0,0.9097,0.5505,0.5201,0.182,0.1689
PHASE1_TRAIN,2016-09-09,2,3,0,0.9078,0.602,0.4921,0.1832,0.1708
PHASE1_TRAIN,2016-08-16,1,3,0,0.9075,0.547,0.3196,0.1571,0.1383
PHASE1_TRAIN,2016-09-12,1,2,0,0.9074,0.5468,0.5023,0.1837,0.171
PHASE1_TRAIN,2016-09-12,1,2,0,0.9067,0.5587,0.4895,0.1827,0.1703
PHASE1_TRAIN,2016-09-14,3,2,0,0.9042,0.5623,0.4888,0.1838,0.1718
PHASE1_TRAIN,2016-09-12,3,2,0,0.8996,0.6048,0.49,0.1843,0.1721
PHASE1_TRAIN,2016-08-11,1,3,0,0.8965,0.5986,0.5295,0.1831,0.1713
PHASE1_TRAIN,2016-11-03,3,2,0,0.8954,0.6441,0.4623,0.1808,0.1713
PHASE1_TRAIN,2016-09-01,3,2,0,0.8943,0.645,0.4786,0.1804,0.1685
PHASE1_TRAIN,2016-12-01,2,4,0,0.8928,0.7013,0.4625,0.1963,0.1907
PHASE1_TRAIN,2016-09-13,3,1,0,0.8906,0.6101,0.5015,0.1833,0.1707
PHASE1_TRAIN,2016-09-16,2,1,0,0.8905,0.6371,0.477,0.1807,0.1689
PHASE1_TRAIN,2016-10-06,1,3,0,0.8903,0.6266,0.5171,0.1852,0.1725
PHASE1_TRAIN,2016-07-29,1,3,0,0.89,0.5921,0.4356,0.1835,0.1667
PHASE1_TRAIN,2016-08-31,3,2,0,0.8898,0.6691,0.4933,0.1838,0.1714
PHASE1_TRAIN,2016-08-22,2,3,0,0.8869,0.6178,0.5086,0.1859,0.1699
PHASE1_TRAIN,2016-09-13,2,1,0,0.8853,0.66,0.4774,0.1807,0.1691
PHASE1_TRAIN,2016-11-10,3,1,0,0.8844,0.6592,0.463,0.1838,0.1753
PHASE1_TRAIN,2016-10-11,2,3,0,0.8842,0.6395,0.5008,0.1838,0.1709
PHASE1_TRAIN,2016-09-13,3,1,0,0.8808,0.6657,0.4888,0.1823,0.1701
PHASE1_TRAIN,2016-09-12,1,2,0,0.8807,0.6776,0.4915,0.1831,0.1707
PHASE1_TRAIN,2017-03-07,3,4,0,0.8798,0.7501,0.4727,0.2075,0.2028
PHASE1_TRAIN,2016-09-30,1,2,0,0.8792,0.6972,0.4914,0.1824,0.17
PHASE1_TRAIN,2016-10-10,1,3,0,0.8791,0.6734,0.4915,0.1833,0.1712
PHASE1_TRAIN,2016-09-13,2,1,0,0.8788,0.6681,0.5104,0.1854,0.1727
PHASE1_TRAIN,2016-07-26,1,3,0,0.8786,0.6593,0.4892,0.1896,0.1733
PHASE1_TRAIN,2016-09-06,1,3,0,0.8777,0.7416,0.4895,0.1802,0.1682
PHASE1_TRAIN,2016-08-17,2,3,0,0.877,0.7283,0.5123,0.1864,0.1711
PHASE1_TRAIN,2016-09-12,1,2,0,0.8767,0.7063,0.4897,0.184,0.1711
PHASE1_TRAIN,2016-09-13,3,1,0,0.876,0.742,0.4934,0.1833,0.1711
PHASE1_TRAIN,2016-08-15,1,3,0,0.8752,0.7113,0.5294,0.1831,0.1712
PHASE1_TRAIN,2016-08-31,3,2,0,0.8736,0.7243,0.4791,0.1806,0.1686
PHASE1_TRAIN,2016-09-13,3,1,0,0.8701,0.7028,0.4891,0.1837,0.1709
PHASE1_TRAIN,2016-07-29,1,3,0,0.8696,0.6824,0.5223,0.1814,0.1687
PHASE1_TRAIN,2017-01-11,1,3,0,0.8687,0.7333,0.4606,0.2039,0.1989
PHASE1_TRAIN,2017-01-06,1,3,0,0.8675,0.7884,0.4603,0.2039,0.1989
PHASE1_TRAIN,2016-10-07,1,3,0,0.8662,0.7667,0.4901,0.1823,0.1705
PHASE1_TRAIN,2016-09-22,3,1,0,0.866,0.736,0.4876,0.1795,0.1675
PHASE1_TRAIN,2016-09-08,1,3,0,0.8645,0.7419,0.4655,0.1789,0.1687
PHASE1_TRAIN,2016-09-27,1,3,0,0.8606,0.762,0.4872,0.1793,0.1673
PHASE1_TRAIN,2017-03-02,2,4,0,0.8589,0.8401,0.4728,0.2048,0.1989
PHASE1_TRAIN,2016-09-09,2,3,0,0.8582,0.7897,0.4949,0.1838,0.1715
PHASE1_TRAIN,2016-09-30,1,2,0,0.8579,0.7795,0.4673,0.1778,0.1665
PHASE1_TRAIN,2017-03-08,3,4,0,0.8538,0.8609,0.4725,0.2074,0.2027
PHASE1_TRAIN,2016-09-09,2,3,0,0.8537,0.7694,0.4935,0.1827,0.1709
PHASE1_TRAIN,2017-04-13,2,4,0,0.8536,0.8438,0.4812,0.2049,0.1985
PHASE1_TRAIN,2016-09-12,1,2,0,0.8525,0.7952,0.4902,0.1822,0.1695
PHASE1_TRAIN,2016-10-03,3,1,0,0.8505,0.7808,0.4907,0.182,0.1698
PHASE1_TRAIN,2016-09-12,1,2,0,0.8501,0.7769,0.4651,0.179,0.1685
PHASE1_TRAIN,2016-09-22,1,3,0,0.8497,0.7825,0.4884,0.1831,0.1707
PHASE1_TRAIN,2016-08-03,3,2,0,0.8477,0.6167,0.25,0.25,0.2
PHASE1_TRAIN,2016-09-12,1,2,0,0.844,0.8502,0.4715,0.1784,0.1669
PHASE1_TRAIN,2016-11-25,1,3,0,0.843,0.8297,0.4591,0.1979,0.192
PHASE1_TRAIN,2016-10-06,4,3,0,0.8415,0.8099,0.4902,0.1841,0.1716
PHASE1_TRAIN,2016-09-16,3,1,0,0.8409,0.8466,0.4892,0.1826,0.1709
PHASE1_TRAIN,2016-09-06,2,3,0,0.8397,0.8572,0.5129,0.184,0.1711
PHASE1_TRAIN,2016-10-27,2,3,0,0.8397,0.8246,0.4667,0.1949,0.1891
PHASE1_TRAIN,2016-10-10,1,3,0,0.8394,0.7409,0.5154,0.1847,0.172
PHASE1_TRAIN,2017-01-18,5,3,0,0.8393,0.8354,0.461,0.204,0.199
PHASE1_TRAIN,2016-08-05,1,3,0,0.8385,0.8556,0.523,0.1815,0.1686
PHASE1_TRAIN,2016-10-06,3,1,0,0.838,0.9215,0.4933,0.1841,0.1716
PHASE1_TRAIN,2016-09-13,3,1,0,0.8362,0.851,0.4711,0.1782,0.1667
PHASE1_TRAIN,2018-11-22,5,3,0,0.8346,0.926,0.4731,0.2142,0.2087
PHASE1_TRAIN,2016-10-19,1,3,0,0.834,0.8945,0.4666,0.195,0.1893
PHASE1_TRAIN,2016-08-29,1,3,0,0.832,0.768,0.4358,0.1836,0.168
PHASE1_TRAIN,2016-10-11,2,3,0,0.8305,0.9326,0.4927,0.1807,0.1686
PHASE1_TRAIN,2016-09-30,3,2,0,0.8297,0.8568,0.4901,0.1803,0.1681
PHASE1_TRAIN,2016-09-13,2,1,0,0.8284,0.9277,0.4899,0.183,0.1712
PHASE1_TRAIN,2016-09-07,2,3,0,0.8272,0.864,0.4663,0.1792,0.1688
PHASE1_TRAIN,2016-09-15,1,3,0,0.8266,0.8299,0.4774,0.1807,0.169
PHASE1_TRAIN,2016-09-13,3,1,0,0.8262,0.8529,0.4647,0.1787,0.1683
PHASE1_TRAIN,2016-10-26,1,3,0,0.8259,0.8939,0.4679,0.1891,0.1812
PHASE1_TRAIN,2016-11-01,1,2,0,0.8252,0.8978,0.464,0.1959,0.1902
PHASE1_TRAIN,2016-08-08,3,1,0,0.8232,0.7075,0.3187,0.1578,0.1388
PHASE1_TRAIN,2016-09-12,1,2,0,0.8228,0.8611,0.4835,0.1793,0.1671
PHASE3_TEST,2024-03-09,5,3,0,0.8213,0.989,0.4407,0.2084,0.197
PHASE1_TRAIN,2017-03-09,2,4,0,0.8203,0.9728,0.4724,0.2073,0.2026
PHASE1_TRAIN,2016-09-02,1,3,0,0.8196,0.8817,0.4918,0.1837,0.1713
PHASE1_TRAIN,2017-08-30,1,3,0,0.8196,0.944,0.4975,0.2072,0.2009
PHASE1_TRAIN,2016-09-26,2,3,0,0.8192,0.9323,0.4942,0.1831,0.1708
PHASE1_TRAIN,2016-09-01,3,2,0,0.819,0.9112,0.4926,0.1834,0.1712
PHASE1_TRAIN,2017-04-12,1,3,0,0.8189,0.8649,0.4927,0.2068,0.2005
PHASE1_TRAIN,2016-10-24,4,3,0,0.8175,0.9408,0.4691,0.1889,0.1808
PHASE1_TRAIN,2016-09-12,1,2,0,0.8172,0.8872,0.4647,0.1788,0.1684
PHASE1_TRAIN,2016-09-13,2,1,0,0.8166,0.8643,0.4901,0.1838,0.1714
PHASE1_TRAIN,2016-09-15,1,3,0,0.8161,0.9318,0.4899,0.183,0.1711
PHASE1_TRAIN,2016-09-21,1,3,0,0.8159,0.9251,0.4897,0.1817,0.1691
PHASE2_UPGRADE,2023-11-23,5,3,0,0.8158,0.9868,0.4399,0.2087,0.1983
PHASE1_TRAIN,2016-10-10,1,3,0,0.8142,0.8864,0.489,0.1839,0.1712
PHASE1_TRAIN,2016-09-09,2,3,0,0.8136,0.8992,0.5031,0.1838,0.1712
PHASE1_TRAIN,2017-06-19,1,3,0,0.813,1.027,0.5029,0.2077,0.2017
PHASE1_TRAIN,2016-12-02,3,2,0,0.8129,1.0204,0.4625,0.1969,0.1913
PHASE1_TRAIN,2018-02-06,1,2,0,0.8124,0.9932,0.4932,0.2087,0.2022
PHASE1_TRAIN,2017-04-10,2,3,0,0.8121,1.0504,0.4915,0.2054,0.1986
PHASE1_TRAIN,2017-05-18,1,2,0,0.8086,0.9773,0.4971,0.2085,0.2027
PHASE1_TRAIN,2016-08-29,1,3,0,0.8081,0.8063,0.5271,0.1824,0.1701
PHASE1_TRAIN,2018-04-25,1,3,0,0.8076,1.0307,0.4802,0.2139,0.2091
PHASE1_TRAIN,2016-11-14,3,1,0,0.8074,0.9955,0.4667,0.1864,0.1782
PHASE1_TRAIN,2017-01-19,2,3,0,0.807,0.9049,0.4598,0.2034,0.1983
PHASE1_TRAIN,2016-12-15,3,2,0,0.8068,0.9839,0.461,0.2034,0.1981
PHASE3_TEST,2025-12-27,5,3,0,0.806,1.0547,0.4512,0.2068,0.1896
PHASE1_TRAIN,2016-09-12,1,2,0,0.8057,1.0005,0.4941,0.1837,0.1713
PHASE1_TRAIN,2016-09-13,3,1,0,0.8025,0.9483,0.4896,0.1819,0.1693
PHASE1_TRAIN,2016-09-13,2,1,0,0.8016,0.8836,0.483,0.1792,0.167
PHASE1_TRAIN,2016-11-23,1,3,0,0.7998,1.0056,0.4589,0.1979,0.1919
PHASE1_TRAIN,2017-02-24,1,3,0,0.7986,1.0494,0.4744,0.2064,0.2013
PHASE2_UPGRADE,2023-11-20,1,3,0,0.7979,1.1013,0.4399,0.2087,0.1983
PHASE1_TRAIN,2018-07-17,1,3,0,0.7976,1.0365,0.4775,0.2129,0.2072
PHASE1_TRAIN,2016-08-05,1,3,0,0.7971,0.9545,0.3222,0.161,0.1403
PHASE1_TRAIN,2016-08-19,1,3,0,0.7969,0.9798,0.4966,0.189,0.173
PHASE1_TRAIN,2016-10-26,1,3,0,0.7964,1.0372,0.4638,0.1825,0.1736
PHASE1_TRAIN,2016-11-03,2,3,0,0.7961,0.9831,0.4662,0.1842,0.1755
PHASE1_TRAIN,2021-12-13,2,3,0,0.7961,1.0979,0.4474,0.2086,0.1983
PHASE1_TRAIN,2016-08-12,2,3,0,0.795,0.8907,0.4302,0.1787,0.1622
PHASE1_TRAIN,2016-08-19,1,3,0,0.7944,0.779,0.33,0.1598,0.1405
PHASE1_TRAIN,2016-11-09,4,3,0,0.7943,1.0572,0.4682,0.1972,0.1918
PHASE1_TRAIN,2016-11-17,1,3,0,0.7941,1.0348,0.4675,0.1887,0.1806
PHASE1_TRAIN,2017-03-15,1,3,0,0.7941,1.0067,0.4809,0.2055,0.1994
PHASE1_TRAIN,2016-12-07,1,3,0,0.7927,1.0412,0.4609,0.2022,0.1965
PHASE1_TRAIN,2016-08-22,2,3,0,0.7925,0.7569,0.4118,0.3111,0.2857
PHASE1_TRAIN,2017-02-27,2,3,0,0.7916,1.0513,0.4803,0.2052,0.1989
PHASE1_TRAIN,2017-12-01,1,3,0,0.7916,1.0568,0.4993,0.2068,0.1994
PHASE1_TRAIN,2016-09-09,2,3,0,0.7912,0.9273,0.4651,0.1788,0.1685
PHASE1_TRAIN,2016-08-23,2,3,0,0.791,0.8954,0.4301,0.1776,0.161
PHASE1_TRAIN,2017-04-06,3,2,0,0.791,1.0424,0.4929,0.2069,0.2007
PHASE1_TRAIN,2016-11-07,1,3,0,0.7909,1.0096,0.4697,0.1896,0.1815
PHASE1_TRAIN,2016-11-23,2,3,0,0.7909,1.0024,0.4589,0.1987,0.1927
PHASE1_TRAIN,2018-09-06,2,3,0,0.7907,1.0975,0.4763,0.2128,0.2072
PHASE1_TRAIN,2016-11-23,1,3,0,0.7901,1.0281,0.4593,0.1979,0.1921
PHASE1_TRAIN,2017-11-07,2,3,0,0.7883,0.9914,0.4994,0.2063,0.1991
PHASE1_TRAIN,2017-02-02,3,1,0,0.788,1.0668,0.4595,0.2037,0.1987
PHASE1_TRAIN,2016-09-08,1,3,0,0.7875,0.9864,0.4909,0.1842,0.1714
PHASE1_TRAIN,2016-12-28,2,3,0,0.7861,1.0888,0.4615,0.1967,0.1909
PHASE1_TRAIN,2016-12-23,5,3,0,0.786,1.0507,0.4584,0.1979,0.1919
PHASE1_TRAIN,2021-12-15,1,3,0,0.786,1.1018,0.4474,0.2086,0.1983
PHASE1_TRAIN,2016-11-07,1,3,0,0.7854,0.9469,0.468,0.1889,0.1808
PHASE1_TRAIN,2017-03-10,1,3,0,0.7852,1.0133,0.4821,0.2053,0.1991
PHASE1_TRAIN,2016-08-09,5,3,0,0.7846,0.8576,0.3152,0.1578,0.1379
PHASE1_TRAIN,2016-09-08,1,3,0,0.7846,0.9935,0.4918,0.1841,0.1719
PHASE1_TRAIN,2016-09-21,1,3,0,0.7846,1.0477,0.4916,0.1811,0.1688
PHASE1_TRAIN,2016-09-09,2,3,0,0.7844,1.0606,0.4907,0.1822,0.1696
PHASE1_TRAIN,2017-04-05,2,3,0,0.784,1.1215,0.4854,0.2056,0.1992
PHASE1_TRAIN,2021-01-01,5,3,0,0.7834,1.0752,0.4482,0.2097,0.2005
PHASE1_TRAIN,2018-02-06,1,2,0,0.783,1.0472,0.4977,0.2082,0.2014
PHASE1_TRAIN,2017-04-05,2,3,0,0.7826,1.0998,0.4892,0.2051,0.1983
PHASE1_TRAIN,2017-10-02,1,3,0,0.7816,1.0978,0.4971,0.2055,0.1985
PHASE1_TRAIN,2016-08-25,2,3,0,0.7812,0.9779,0.4549,0.1864,0.169
PHASE1_TRAIN,2017-02-03,1,3,0,0.7809,1.0964,0.467,0.2041,0.1987
PHASE1_TRAIN,2017-01-24,1,3,0,0.7803,1.0536,0.4741,0.2043,0.1986
PHASE1_TRAIN,2016-09-29,2,3,0,0.7801,0.8481,0.4883,0.1803,0.1681
PHASE1_TRAIN,2017-04-12,2,3,0,0.7794,1.0903,0.4871,0.2055,0.1988
PHASE1_TRAIN,2017-08-25,1,2,0,0.7794,1.0597,0.5016,0.2079,0.2017
PHASE1_TRAIN,2016-08-15,1,2,0,0.7793,0.8347,0.4278,0.1782,0.1616
PHASE1_TRAIN,2016-11-29,4,3,0,0.7789,1.0805,0.4627,0.1965,0.1908
PHASE1_TRAIN,2016-08-03,1,2,0,0.7775,0.806,0.35,0.2164,0.2035
PHASE1_TRAIN,2016-09-23,2,3,0,0.7772,1.0141,0.4641,0.1783,0.1679
PHASE1_TRAIN,2018-02-06,1,2,0,0.777,1.1083,0.4954,0.2087,0.2022
PHASE1_TRAIN,2016-08-05,1,3,0,0.7769,0.8876,0.4425,0.1828,0.1664
PHASE1_TRAIN,2017-06-02,3,1,0,0.7748,1.1055,0.4992,0.207,0.2005
PHASE1_TRAIN,2016-10-18,1,3,0,0.7744,1.0446,0.4689,0.1901,0.182
PHASE1_TRAIN,2017-11-13,1,3,0,0.7743,1.0622,0.5001,0.2064,0.1991
PHASE3_TEST,2025-11-22,5,3,0,0.7739,1.1341,0.4508,0.2069,0.19
PHASE1_TRAIN,2017-01-19,1,3,0,0.7735,1.1075,0.467,0.2042,0.199
PHASE1_TRAIN,2016-11-02,3,2,0,0.7734,1.1223,0.4693,0.1889,0.1808
PHASE1_TRAIN,2016-11-28,2,3,0,0.7734,1.1269,0.4604,0.2012,0.1953
PHASE1_TRAIN,2016-08-09,2,3,0,0.7723,0.962,0.4375,0.1809,0.1647
PHASE1_TRAIN,2017-02-09,2,3,0,0.7719,0.9493,0.4598,0.2038,0.1988
PHASE1_TRAIN,2017-01-05,3,1,0,0.771,1.0778,0.4582,0.2031,0.1981
PHASE1_TRAIN,2018-09-18,3,2,0,0.771,1.1216,0.4772,0.213,0.2073
PHASE1_TRAIN,2018-10-11,4,2,0,0.7709,1.1615,0.4748,0.2142,0.2087
PHASE1_TRAIN,2016-08-05,3,1,0,0.7706,0.9167,0.5335,0.1842,0.1725
PHASE1_TRAIN,2016-11-25,1,3,0,0.7702,1.1068,0.4606,0.2012,0.1954
PHASE1_TRAIN,2016-08-09,2,3,0,0.7691,0.8224,0.3611,0.2476,0.2294
PHASE1_TRAIN,2016-08-11,1,3,0,0.7689,0.9083,0.4874,0.185,0.1688
PHASE1_TRAIN,2017-01-19,5,3,0,0.7685,1.1483,0.4744,0.2042,0.1982
PHASE1_TRAIN,2017-01-19,2,3,0,0.7682,1.1213,0.4742,0.204,0.198
PHASE1_TRAIN,2016-10-14,2,3,0,0.7679,1.0741,0.4635,0.1788,0.1686
PHASE1_TRAIN,2016-10-07,2,3,0,0.7677,1.1103,0.4924,0.1838,0.1716
PHASE1_TRAIN,2016-08-23,2,3,0,0.7674,1.0769,0.4939,0.1859,0.1696
PHASE1_TRAIN,2016-10-05,2,3,0,0.7674,1.0203,0.4862,0.179,0.1669
PHASE1_TRAIN,2016-08-24,2,3,0,0.7673,1.0085,0.5263,0.1823,0.17
PHASE1_TRAIN,2017-02-07,5,3,0,0.7663,1.0825,0.4598,0.2038,0.1989
PHASE1_TRAIN,2017-01-19,1,3,0,0.766,1.1121,0.4659,0.2044,0.1992
PHASE1_TRAIN,2016-08-25,5,3,0,0.7659,0.8923,0.4309,0.1781,0.1611
PHASE1_TRAIN,2018-07-17,1,3,0,0.7658,1.1914,0.4767,0.2125,0.2068
PHASE1_TRAIN,2016-08-11,1,3,0,0.7651,0.9025,0.3933,0.1753,0.1582
PHASE1_TRAIN,2017-12-01,4,3,0,0.7651,1.1528,0.4978,0.2057,0.1982
PHASE1_TRAIN,2021-11-19,1,3,0,0.7651,1.1878,0.4472,0.2085,0.1983
PHASE1_TRAIN,2017-03-16,2,3,0,0.7648,1.1419,0.4725,0.2063,0.2012
PHASE1_TRAIN,2021-12-20,1,3,0,0.7638,1.1683,0.4474,0.2086,0.1983
PHASE1_TRAIN,2017-08-11,3,2,0,0.7636,1.0881,0.4978,0.2074,0.201
PHASE1_TRAIN,2016-07-28,2,3,0,0.7612,1.0438,0.5395,0.1861,0.1742
PHASE1_TRAIN,2016-09-27,1,2,0,0.7612,1.0052,0.4888,0.1823,0.1697
PHASE1_TRAIN,2016-12-28,2,3,0,0.7611,1.2189,0.4622,0.1989,0.1931
PHASE1_TRAIN,2017-01-24,1,3,0,0.761,1.0756,0.4662,0.2044,0.1992
PHASE1_TRAIN,2016-07-26,3,1,0,0.7607,1.0378,0.5438,0.19,0.1772
PHASE1_TRAIN,2017-05-30,1,3,0,0.7602,1.2075,0.4981,0.2082,0.2022
PHASE1_TRAIN,2016-10-19,1,3,0,0.7599,1.1569,0.4632,0.1786,0.1685
PHASE1_TRAIN,2016-08-19,1,3,0,0.7596,0.9424,0.5366,0.1899,0.1756
PHASE1_TRAIN,2016-08-18,2,3,0,0.7594,0.9496,0.5265,0.1823,0.1703
PHASE1_TRAIN,2017-04-10,2,3,0,0.7594,1.1508,0.4823,0.205,0.1985
PHASE1_TRAIN,2016-07-29,2,3,0,0.7589,0.9313,0.3688,0.1704,0.1534
PHASE1_TRAIN,2017-05-30,1,3,0,0.7588,1.1447,0.499,0.2074,0.2011
PHASE1_TRAIN,2016-12-23,1,3,0,0.7585,1.1467,0.4599,0.1982,0.1925
PHASE1_TRAIN,2017-12-05,2,3,0,0.7585,1.1425,0.4993,0.2068,0.1994
PHASE1_TRAIN,2016-08-29,1,3,0,0.7583,0.9219,0.4136,0.1779,0.1611
PHASE1_TRAIN,2016-11-10,2,1,0,0.7583,0.9754,0.4696,0.1911,0.1831
PHASE1_TRAIN,2016-10-14,2,3,0,0.7581,1.1412,0.4612,0.1821,0.1731
PHASE1_TRAIN,2019-02-15,2,3,0,0.7578,1.0822,0.4592,0.2126,0.207
PHASE1_TRAIN,2018-03-28,3,2,0,0.7574,1.1472,0.4825,0.2121,0.2073
PHASE1_TRAIN,2016-08-15,1,3,0,0.7573,0.8115,0.375,0.2492,0.2283
PHASE1_TRAIN,2017-03-17,2,3,0,0.7573,1.1661,0.4729,0.2062,0.201
PHASE1_TRAIN,2016-08-30,1,3,0,0.7555,0.8093,0.3043,0.2333,0.2222
PHASE1_TRAIN,2016-08-05,4,3,0,0.7554,0.8885,0.3475,0.171,0.1531
PHASE1_TRAIN,2016-10-11,4,3,0,0.7554,1.1226,0.4904,0.1805,0.1684
PHASE1_TRAIN,2016-10-26,2,3,0,0.7553,1.1829,0.466,0.1842,0.1756
PHASE1_TRAIN,2016-09-19,2,3,0,0.7552,0.9334,0.4899,0.1827,0.1702
PHASE1_TRAIN,2018-12-05,3,2,0,0.7549,1.1316,0.473,0.2142,0.2087
PHASE1_TRAIN,2019-02-22,1,3,0,0.7548,1.1054,0.4592,0.2126,0.207
PHASE1_TRAIN,2016-12-14,2,3,0,0.7547,1.1439,0.4598,0.2021,0.1963
PHASE1_TRAIN,2017-06-23,2,4,0,0.754,1.2666,0.4966,0.2064,0.1998
PHASE1_TRAIN,2016-07-22,3,1,0,0.7536,0.8184,0.3333,0.1602,0.1401
PHASE1_TRAIN,2017-08-04,2,3,0,0.7535,1.1115,0.4994,0.2078,0.2016
PHASE1_TRAIN,2016-11-22,1,3,0,0.7533,1.1978,0.461,0.1987,0.1929
PHASE1_TRAIN,2016-08-19,1,3,0,0.7531,0.9894,0.5098,0.1861,0.1704
PHASE1_TRAIN,2017-01-20,1,3,0,0.753,1.2017,0.4694,0.2041,0.1986
PHASE3_TEST,2024-12-21,5,3,0,0.7525,1.2701,0.4456,0.2076,0.1939
PHASE1_TRAIN,2017-06-05,3,1,0,0.7524,1.1833,0.4991,0.2069,0.2005
PHASE1_TRAIN,2016-10-31,1,3,0,0.7522,1.1416,0.47,0.1872,0.1792
